Collection Time,Status,CPU (%),Memory (%),Disk Used (%),Reason
May 6 2022 10:15:43 PM PDT,Trouble,10.13,83.94,72.36,Memory Utilization exceeds 80 %
May 6 2022 10:14:43 PM PDT,Trouble,8,83.92,72.36,Memory Utilization exceeds 80 %
May 6 2022 10:13:43 PM PDT,Trouble,9.13,84.06,72.36,Memory Utilization exceeds 80 %
May 6 2022 10:12:43 PM PDT,Trouble,12,84.1,72.36,Memory Utilization exceeds 80 %
May 6 2022 10:11:43 PM PDT,Trouble,13.75,83.78,72.36,Memory Utilization exceeds 80 %
May 6 2022 10:10:44 PM PDT,Trouble,12.13,83.99,72.36,Memory Utilization exceeds 80 %
May 6 2022 10:09:43 PM PDT,Trouble,13,83.99,72.37,Memory Utilization exceeds 80 %
May 6 2022 10:08:43 PM PDT,Trouble,10.13,83.84,72.36,Memory Utilization exceeds 80 %
May 6 2022 10:07:45 PM PDT,Trouble,13.38,83.99,72.36,Memory Utilization exceeds 80 %
May 6 2022 10:06:43 PM PDT,Trouble,13.63,83.72,72.36,Memory Utilization exceeds 80 %
May 6 2022 10:05:43 PM PDT,Trouble,12,83.66,72.36,Memory Utilization exceeds 80 %
May 6 2022 10:04:43 PM PDT,Trouble,13.5,83.8,72.36,Memory Utilization exceeds 80 %
May 6 2022 10:03:43 PM PDT,Trouble,10,83.72,72.36,Memory Utilization exceeds 80 %
May 6 2022 10:02:43 PM PDT,Trouble,10.5,83.59,72.35,Memory Utilization exceeds 80 %
May 6 2022 10:01:43 PM PDT,Trouble,12.13,83.81,72.35,Memory Utilization exceeds 80 %
May 6 2022 10:00:43 PM PDT,Trouble,9,83.76,72.35,Memory Utilization exceeds 80 %
May 6 2022 9:59:43 PM PDT,Trouble,8.75,83.91,72.35,Memory Utilization exceeds 80 %
May 6 2022 9:58:43 PM PDT,Trouble,10.63,83.43,72.35,Memory Utilization exceeds 80 %
May 6 2022 9:57:43 PM PDT,Trouble,9.13,83.4,72.35,Memory Utilization exceeds 80 %
May 6 2022 9:56:43 PM PDT,Trouble,11,83.81,72.35,Memory Utilization exceeds 80 %
May 6 2022 9:55:43 PM PDT,Trouble,12.63,83.99,72.35,Memory Utilization exceeds 80 %
May 6 2022 9:54:43 PM PDT,Trouble,9.25,83.28,72.35,Memory Utilization exceeds 80 %
May 6 2022 9:53:43 PM PDT,Trouble,13.5,83.84,72.34,Memory Utilization exceeds 80 %
May 6 2022 9:52:43 PM PDT,Trouble,10.88,83.84,72.34,Memory Utilization exceeds 80 %
May 6 2022 9:51:44 PM PDT,Trouble,12.13,83.85,72.34,Memory Utilization exceeds 80 %
May 6 2022 9:50:45 PM PDT,Trouble,9.5,83.55,72.34,Memory Utilization exceeds 80 %
May 6 2022 9:49:43 PM PDT,Trouble,9.88,83.84,72.34,Memory Utilization exceeds 80 %
May 6 2022 9:48:43 PM PDT,Trouble,10.13,83.86,72.34,Memory Utilization exceeds 80 %
May 6 2022 9:47:43 PM PDT,Trouble,12.13,83.73,72.35,Memory Utilization exceeds 80 %
May 6 2022 9:46:43 PM PDT,Trouble,13.13,83.5,72.34,Memory Utilization exceeds 80 %
May 6 2022 9:45:44 PM PDT,Trouble,13.5,83.41,72.34,Memory Utilization exceeds 80 %
May 6 2022 9:44:43 PM PDT,Trouble,10.38,83.37,72.34,Memory Utilization exceeds 80 %
May 6 2022 9:43:43 PM PDT,Trouble,16,83.24,72.34,Memory Utilization exceeds 80 %
May 6 2022 9:42:44 PM PDT,Trouble,14.13,83.14,72.34,Memory Utilization exceeds 80 %
May 6 2022 9:41:44 PM PDT,Trouble,12.5,83.05,72.34,Memory Utilization exceeds 80 %
May 6 2022 9:40:43 PM PDT,Trouble,14.38,83.1,72.34,Memory Utilization exceeds 80 %
May 6 2022 9:39:43 PM PDT,Trouble,14.5,83.1,72.34,Memory Utilization exceeds 80 %
May 6 2022 9:38:43 PM PDT,Trouble,12.63,83.03,72.34,Memory Utilization exceeds 80 %
May 6 2022 9:37:43 PM PDT,Trouble,13.63,83.14,72.33,Memory Utilization exceeds 80 %
May 6 2022 9:36:43 PM PDT,Trouble,11.5,82.96,72.33,Memory Utilization exceeds 80 %
May 6 2022 9:35:43 PM PDT,Trouble,12.5,82.96,72.33,Memory Utilization exceeds 80 %
May 6 2022 9:34:43 PM PDT,Trouble,14,83,72.33,Memory Utilization exceeds 80 %
May 6 2022 9:33:43 PM PDT,Trouble,20.13,82.8,72.33,Memory Utilization exceeds 80 %
May 6 2022 9:32:44 PM PDT,Trouble,17.88,82.82,72.33,Memory Utilization exceeds 80 %
May 6 2022 9:31:43 PM PDT,Trouble,15.5,82.61,72.33,Memory Utilization exceeds 80 %
May 6 2022 9:30:43 PM PDT,Trouble,15.75,82.53,72.32,Memory Utilization exceeds 80 %
May 6 2022 9:29:44 PM PDT,Trouble,14.25,82.39,72.32,Memory Utilization exceeds 80 %
May 6 2022 9:28:43 PM PDT,Trouble,17.25,82.25,72.32,Memory Utilization exceeds 80 %
May 6 2022 9:27:43 PM PDT,Trouble,13.63,81.62,72.33,Memory Utilization exceeds 80 %
May 6 2022 9:26:43 PM PDT,Trouble,13.25,81.75,72.33,Memory Utilization exceeds 80 %
May 6 2022 9:25:43 PM PDT,Trouble,13.63,81.6,72.32,Memory Utilization exceeds 80 %
May 6 2022 9:24:44 PM PDT,Trouble,16.88,81.86,72.32,Memory Utilization exceeds 80 %
May 6 2022 9:23:43 PM PDT,Trouble,19,81.78,72.32,Memory Utilization exceeds 80 %
May 6 2022 9:22:43 PM PDT,Trouble,15,81.78,72.32,Memory Utilization exceeds 80 %
May 6 2022 9:21:43 PM PDT,Trouble,22,81.74,72.32,Memory Utilization exceeds 80 %
May 6 2022 9:20:43 PM PDT,Trouble,20.63,81.93,72.32,Memory Utilization exceeds 80 %
